
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
165,,Surface,5,Image 1,1,3076,
167,,Surface,5,Image 1,1,3077,
162,,Surface,5,Image 1,1,3078,
201,,Surface,5,Image 1,1,3079,
146,,Surface,5,Image 1,1,3080,
181,,Surface,5,Image 1,1,3081,
150,,Surface,5,Image 1,1,3082,
162,,Surface,5,Image 1,1,3083,
166,,Surface,5,Image 1,1,3084,
194,,Surface,5,Image 1,1,3085,
179,,Surface,5,Image 1,1,3086,
165,,Surface,5,Image 1,1,3087,
170,,Surface,5,Image 1,1,3088,
178,,Surface,5,Image 1,1,3089,
180,,Surface,5,Image 1,1,3090,
158,,Surface,5,Image 1,1,3091,
145,,Surface,5,Image 1,1,3092,
161,,Surface,5,Image 1,1,3093,
173,,Surface,5,Image 1,1,3094,
186,,Surface,5,Image 1,1,3095,
173,,Surface,5,Image 1,1,3096,
158,,Surface,5,Image 1,1,3097,
158,,Surface,5,Image 1,1,3098,
189,,Surface,5,Image 1,1,3099,
162,,Surface,5,Image 1,1,3100,
153,,Surface,5,Image 1,1,3101,
179,,Surface,5,Image 1,1,3102,
158,,Surface,5,Image 1,1,3103,
163,,Surface,5,Image 1,1,3104,
162,,Surface,5,Image 1,1,3105,
