
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
82.3958,,Surface,6,Image 1,1,2806,
70.7222,,Surface,6,Image 1,1,2807,
79.0916,,Surface,6,Image 1,1,2808,
78.75,,Surface,6,Image 1,1,2809,
66.0976,,Surface,6,Image 1,1,2810,
75.3164,,Surface,6,Image 1,1,2811,
86.9167,,Surface,6,Image 1,1,2812,
83.5862,,Surface,6,Image 1,1,2813,
70.6056,,Surface,6,Image 1,1,2814,
65.8473,,Surface,6,Image 1,1,2815,
81.4355,,Surface,6,Image 1,1,2816,
63.5547,,Surface,6,Image 1,1,2817,
66.0074,,Surface,6,Image 1,1,2818,
83.9135,,Surface,6,Image 1,1,2819,
75.5667,,Surface,6,Image 1,1,2820,
67.1417,,Surface,6,Image 1,1,2821,
67.5132,,Surface,6,Image 1,1,2822,
81.775,,Surface,6,Image 1,1,2823,
63.1012,,Surface,6,Image 1,1,2824,
66.377,,Surface,6,Image 1,1,2825,
84.4901,,Surface,6,Image 1,1,2826,
69.9784,,Surface,6,Image 1,1,2827,
58.2656,,Surface,6,Image 1,1,2828,
63.8167,,Surface,6,Image 1,1,2829,
68.5192,,Surface,6,Image 1,1,2830,
63.4929,,Surface,6,Image 1,1,2831,
94.1892,,Surface,6,Image 1,1,2832,
63.9054,,Surface,6,Image 1,1,2833,
102.799,,Surface,6,Image 1,1,2834,
75.0568,,Surface,6,Image 1,1,2835,
55.4545,,Surface,6,Image 1,1,2836,
87.9286,,Surface,6,Image 1,1,2837,
72.6849,,Surface,6,Image 1,1,2838,
78.4792,,Surface,6,Image 1,1,2839,
70.1316,,Surface,6,Image 1,1,2840,
69.9722,,Surface,6,Image 1,1,2841,
60.1991,,Surface,6,Image 1,1,2842,
74.2908,,Surface,6,Image 1,1,2843,
67.4118,,Surface,6,Image 1,1,2844,
65.8026,,Surface,6,Image 1,1,2845,
75.7315,,Surface,6,Image 1,1,2846,
104.425,,Surface,6,Image 1,1,2847,
69.3306,,Surface,6,Image 1,1,2848,
78.947,,Surface,6,Image 1,1,2849,
78.8017,,Surface,6,Image 1,1,2850,
63.5635,,Surface,6,Image 1,1,2851,
68.8362,,Surface,6,Image 1,1,2852,
78.3778,,Surface,6,Image 1,1,2853,
69.375,,Surface,6,Image 1,1,2854,
69.287,,Surface,6,Image 1,1,2855,
61.2174,,Surface,6,Image 1,1,2856,
73.8382,,Surface,6,Image 1,1,2857,
61.2062,,Surface,6,Image 1,1,2858,
77.3782,,Surface,6,Image 1,1,2859,
53.4643,,Surface,6,Image 1,1,2860,
88.1,,Surface,6,Image 1,1,2861,
71.8222,,Surface,6,Image 1,1,2862,
61.3056,,Surface,6,Image 1,1,2863,
72.8333,,Surface,6,Image 1,1,2864,
84.7097,,Surface,6,Image 1,1,2865,
79.23,,Surface,6,Image 1,1,2866,
58.9193,,Surface,6,Image 1,1,2867,
80.8163,,Surface,6,Image 1,1,2868,
70.5833,,Surface,6,Image 1,1,2869,
56.8796,,Surface,6,Image 1,1,2870,
73.875,,Surface,6,Image 1,1,2871,
67.7639,,Surface,6,Image 1,1,2872,
67.431,,Surface,6,Image 1,1,2873,
76.1571,,Surface,6,Image 1,1,2874,
69.2167,,Surface,6,Image 1,1,2875,
61.8152,,Surface,6,Image 1,1,2876,
73.5152,,Surface,6,Image 1,1,2877,
88.0648,,Surface,6,Image 1,1,2878,
83.1184,,Surface,6,Image 1,1,2879,
62.1216,,Surface,6,Image 1,1,2880,
64.9688,,Surface,6,Image 1,1,2881,
79.163,,Surface,6,Image 1,1,2882,
97.1324,,Surface,6,Image 1,1,2883,
63.95,,Surface,6,Image 1,1,2884,
89.4845,,Surface,6,Image 1,1,2885,
65.4583,,Surface,6,Image 1,1,2886,
81.4167,,Surface,6,Image 1,1,2887,
81.1071,,Surface,6,Image 1,1,2888,
93.7206,,Surface,6,Image 1,1,2889,
95.1806,,Surface,6,Image 1,1,2890,
89.4545,,Surface,6,Image 1,1,2891,
77.4038,,Surface,6,Image 1,1,2892,
70.4643,,Surface,6,Image 1,1,2893,
65,,Surface,6,Image 1,1,2894,
63.2235,,Surface,6,Image 1,1,2895,
82.4938,,Surface,6,Image 1,1,2896,
73.5875,,Surface,6,Image 1,1,2897,
91.5333,,Surface,6,Image 1,1,2898,
72.3285,,Surface,6,Image 1,1,2899,
87.1432,,Surface,6,Image 1,1,2900,
72.0389,,Surface,6,Image 1,1,2901,
52.9028,,Surface,6,Image 1,1,2902,
66.7788,,Surface,6,Image 1,1,2903,
74.1064,,Surface,6,Image 1,1,2904,
97.8604,,Surface,6,Image 1,1,2905,
91.2841,,Surface,6,Image 1,1,2906,
70.4975,,Surface,6,Image 1,1,2907,
86.0741,,Surface,6,Image 1,1,2908,
89.0437,,Surface,6,Image 1,1,2909,
84.0982,,Surface,6,Image 1,1,2910,
63.7578,,Surface,6,Image 1,1,2911,
76.5948,,Surface,6,Image 1,1,2912,
98.5346,,Surface,6,Image 1,1,2913,
82.6275,,Surface,6,Image 1,1,2914,
76.3095,,Surface,6,Image 1,1,2915,
74.4206,,Surface,6,Image 1,1,2916,
75.9833,,Surface,6,Image 1,1,2917,
53.0643,,Surface,6,Image 1,1,2918,
76.7174,,Surface,6,Image 1,1,2919,
69.6222,,Surface,6,Image 1,1,2920,
78.4567,,Surface,6,Image 1,1,2921,
64.175,,Surface,6,Image 1,1,2922,
72.6389,,Surface,6,Image 1,1,2923,
80.7103,,Surface,6,Image 1,1,2924,
60.0474,,Surface,6,Image 1,1,2925,
62.4833,,Surface,6,Image 1,1,2926,
94.0056,,Surface,6,Image 1,1,2927,
69.2367,,Surface,6,Image 1,1,2928,
88.553,,Surface,6,Image 1,1,2929,
76.9333,,Surface,6,Image 1,1,2930,
67.7924,,Surface,6,Image 1,1,2931,
75.6692,,Surface,6,Image 1,1,2932,
73.2067,,Surface,6,Image 1,1,2933,
70.38,,Surface,6,Image 1,1,2934,
77.6964,,Surface,6,Image 1,1,2935,
79.8409,,Surface,6,Image 1,1,2936,
84.8421,,Surface,6,Image 1,1,2937,
64.8322,,Surface,6,Image 1,1,2938,
96.375,,Surface,6,Image 1,1,2939,
86.3848,,Surface,6,Image 1,1,2940,
97.8833,,Surface,6,Image 1,1,2941,
68.037,,Surface,6,Image 1,1,2942,
78.0262,,Surface,6,Image 1,1,2943,
80.4031,,Surface,6,Image 1,1,2944,
92.2206,,Surface,6,Image 1,1,2945,
68.2128,,Surface,6,Image 1,1,2946,
64.1866,,Surface,6,Image 1,1,2947,
73.3375,,Surface,6,Image 1,1,2948,
72.3513,,Surface,6,Image 1,1,2949,
93.4259,,Surface,6,Image 1,1,2950,
83.41,,Surface,6,Image 1,1,2951,
85.0595,,Surface,6,Image 1,1,2952,
75.9792,,Surface,6,Image 1,1,2953,
63.4561,,Surface,6,Image 1,1,2954,
65.9969,,Surface,6,Image 1,1,2955,
