
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,2888,
0,um,Surface,Image 1,1,2889,
0,um,Surface,Image 1,1,2890,
0,um,Surface,Image 1,1,2891,
0,um,Surface,Image 1,1,2892,
0,um,Surface,Image 1,1,2893,
0,um,Surface,Image 1,1,2894,
0,um,Surface,Image 1,1,2895,
0,um,Surface,Image 1,1,2896,
0,um,Surface,Image 1,1,2897,
0,um,Surface,Image 1,1,2898,
0,um,Surface,Image 1,1,2899,
0,um,Surface,Image 1,1,2900,
0,um,Surface,Image 1,1,2901,
0,um,Surface,Image 1,1,2902,
0,um,Surface,Image 1,1,2903,
0,um,Surface,Image 1,1,2904,
0,um,Surface,Image 1,1,2905,
0,um,Surface,Image 1,1,2906,
0,um,Surface,Image 1,1,2907,
0,um,Surface,Image 1,1,2908,
0,um,Surface,Image 1,1,2909,
0,um,Surface,Image 1,1,2910,
0,um,Surface,Image 1,1,2911,
0,um,Surface,Image 1,1,2912,
0,um,Surface,Image 1,1,2913,
0,um,Surface,Image 1,1,2914,
0,um,Surface,Image 1,1,2915,
0,um,Surface,Image 1,1,2916,
0,um,Surface,Image 1,1,2917,
0,um,Surface,Image 1,1,2918,
0,um,Surface,Image 1,1,2919,
0,um,Surface,Image 1,1,2920,
0,um,Surface,Image 1,1,2921,
0,um,Surface,Image 1,1,2922,
0,um,Surface,Image 1,1,2923,
0,um,Surface,Image 1,1,2924,
0,um,Surface,Image 1,1,2925,
0,um,Surface,Image 1,1,2926,
0,um,Surface,Image 1,1,2927,
0,um,Surface,Image 1,1,2928,
0,um,Surface,Image 1,1,2929,
0,um,Surface,Image 1,1,2930,
0,um,Surface,Image 1,1,2931,
0,um,Surface,Image 1,1,2932,
0,um,Surface,Image 1,1,2933,
0,um,Surface,Image 1,1,2934,
0,um,Surface,Image 1,1,2935,
0,um,Surface,Image 1,1,2936,
0,um,Surface,Image 1,1,2937,
0,um,Surface,Image 1,1,2938,
0,um,Surface,Image 1,1,2939,
0,um,Surface,Image 1,1,2940,
0,um,Surface,Image 1,1,2941,
0,um,Surface,Image 1,1,2942,
0,um,Surface,Image 1,1,2943,
0,um,Surface,Image 1,1,2944,
0,um,Surface,Image 1,1,2945,
0,um,Surface,Image 1,1,2946,
0,um,Surface,Image 1,1,2947,
0,um,Surface,Image 1,1,2948,
0,um,Surface,Image 1,1,2949,
0,um,Surface,Image 1,1,2950,
0,um,Surface,Image 1,1,2951,
0,um,Surface,Image 1,1,2952,
0,um,Surface,Image 1,1,2953,
0,um,Surface,Image 1,1,2954,
0,um,Surface,Image 1,1,2955,
0,um,Surface,Image 1,1,2956,
0,um,Surface,Image 1,1,2957,
0,um,Surface,Image 1,1,2958,
0,um,Surface,Image 1,1,2959,
