
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.540073,,Surface,1,3014,
0.630836,,Surface,1,3015,
0.463227,,Surface,1,3016,
0.742409,,Surface,1,3017,
0.781082,,Surface,1,3018,
0.471371,,Surface,1,3019,
0.75821,,Surface,1,3020,
0.713278,,Surface,1,3021,
0.34117,,Surface,1,3022,
0.519097,,Surface,1,3023,
0.77322,,Surface,1,3024,
0.745475,,Surface,1,3025,
0.397552,,Surface,1,3026,
0.637928,,Surface,1,3027,
0.315856,,Surface,1,3028,
0.870292,,Surface,1,3029,
0.851944,,Surface,1,3030,
0.543082,,Surface,1,3031,
0.565978,,Surface,1,3032,
0.699977,,Surface,1,3033,
0.793754,,Surface,1,3034,
0.574272,,Surface,1,3035,
0.608382,,Surface,1,3036,
0.54789,,Surface,1,3037,
0.759786,,Surface,1,3038,
0.696361,,Surface,1,3039,
0.522716,,Surface,1,3040,
0.530511,,Surface,1,3041,
0.451775,,Surface,1,3042,
0.410188,,Surface,1,3043,
0.6847,,Surface,1,3044,
0.794207,,Surface,1,3045,
0.42084,,Surface,1,3046,
0.558138,,Surface,1,3047,
0.784011,,Surface,1,3048,
0.365091,,Surface,1,3049,
0.5051,,Surface,1,3050,
0.680611,,Surface,1,3051,
0.263344,,Surface,1,3052,
0.56488,,Surface,1,3053,
0.662736,,Surface,1,3054,
0.353955,,Surface,1,3055,
0.569594,,Surface,1,3056,
0.531216,,Surface,1,3057,
0.61336,,Surface,1,3058,
0.695437,,Surface,1,3059,
0.75403,,Surface,1,3060,
0.738807,,Surface,1,3061,
0.586379,,Surface,1,3062,
0.735794,,Surface,1,3063,
0.631855,,Surface,1,3064,
0.674571,,Surface,1,3065,
0.662392,,Surface,1,3066,
0.555701,,Surface,1,3067,
0.700648,,Surface,1,3068,
0.583045,,Surface,1,3069,
0.750178,,Surface,1,3070,
0.745739,,Surface,1,3071,
0.799011,,Surface,1,3072,
0.524874,,Surface,1,3073,
0.529433,,Surface,1,3074,
0.468721,,Surface,1,3075,
0.659719,,Surface,1,3076,
0.566897,,Surface,1,3077,
0.621675,,Surface,1,3078,
0.527386,,Surface,1,3079,
0.809111,,Surface,1,3080,
0.401389,,Surface,1,3081,
0.868316,,Surface,1,3082,
0.623031,,Surface,1,3083,
0.728567,,Surface,1,3084,
0.667438,,Surface,1,3085,
0.667179,,Surface,1,3086,
0.76012,,Surface,1,3087,
0.646295,,Surface,1,3088,
0.309602,,Surface,1,3089,
0.626333,,Surface,1,3090,
0.788216,,Surface,1,3091,
0.71727,,Surface,1,3092,
0.87016,,Surface,1,3093,
0.562771,,Surface,1,3094,
0.552766,,Surface,1,3095,
0.691725,,Surface,1,3096,
0.622184,,Surface,1,3097,
0.807533,,Surface,1,3098,
0.590176,,Surface,1,3099,
